0,-,-,-,-,-,-,-
0,-,-,-,-,-,-,-
0,-,-,-,-,-,-,-
0,-,-,-,-,-,-,-
2,-,-,-,-,-,-,-
007-e,tern,jkklj,32.000000,2,43,36.480000,usr-BwdHej7mU
007-h,tern,jkklj,77.000000,5,43,219.449997,usr-BwdHej7mU
2,-,-,-,-,-,-,-
007-e,tern,jkklj,32.000000,2,43,36.480000,usr-BwdHej7mU
007-h,tern,jkklj,77.000000,5,43,219.449997,usr-BwdHej7mU
0,-,-,-,-,-,-,-
2,-,-,-,-,-,-,-
007-e,tern,jkklj,32.000000,5,43,91.199997,usr-BwdHej7mU
007-g,tern,jkklj,32.000000,6,23,147.839996,usr-BwdHej7mU
2,-,-,-,-,-,-,-
007-e,tern,jkklj,32.000000,5,43,91.199997,usr-BwdHej7mU
007-h,tern,jkklj,77.000000,3,43,131.669998,usr-BwdHej7mU
3,-,-,-,-,-,-,-
007-e,tern,jkklj,32.000000,5,43,91.199997,usr-BwdHej7mU
007-h,tern,jkklj,77.000000,3,43,131.669998,usr-BwdHej7mU
007-g,tern,jkklj,32.000000,3,23,73.919998,usr-BwdHej7mU
3,-,-,-,-,-,-,-
007-e,tern,jkklj,32.000000,5,43,91.199997,usr-BwdHej7mU
007-h,tern,jkklj,77.000000,3,43,131.669998,usr-BwdHej7mU
007-g,tern,jkklj,32.000000,3,23,73.919998,usr-BwdHej7mU
3,-,-,-,-,-,-,-
007-e,tern,jkklj,32.000000,5,43,91.199997,usr-BwdHej7mU
007-h,tern,jkklj,77.000000,3,43,131.669998,usr-BwdHej7mU
007-g,tern,jkklj,32.000000,1,23,24.639999,usr-BwdHej7mU
3,-,-,-,-,-,-,-
007-h,tern,jkklj,77.000000,3,43,131.669998,usr-BwdHej7mU
007-g,tern,jkklj,32.000000,0,23,0.000000,usr-BwdHej7mU
007-f,tern,jkklj,73.000000,2,14,125.559998,usr-BwdHej7mU
1,-,-,-,-,-,-,-
007-g,tern,jkklj,32.000000,0,23,0.000000,usr-BwdHej7mU
1,-,-,-,-,-,-,-
007-h,tern,jkklj,77.000000,3,43,131.669998,usr-BwdHej7mU
2,-,-,-,-,-,-,-
007-f,tern,jkklj,73.000000,3,14,188.339996,usr-BwdHej7mU
007-h,tern,jkklj,77.000000,4,43,175.559998,usr-BwdHej7mU
2,-,-,-,-,-,-,-
007-h,tern,jkklj,77.000000,3,43,131.669998,usr-BwdHej7mU
010-4sq9Sf,genau,fenit,32.000000,5,33,107.199997,usr-BwdHej7mU
0,-,-,-,-,-,-,-
2,-,-,-,-,-,-,-
007-h,tern,jkklj,30.830000,20,43,351.462006,usr-BwdHej7mU
010-4sq9Sf,genau,fenit,32.000000,10,50,160.000000,usr-BwdHej7mU
1,-,-,-,-,-,-,-
007-h,tern,jkklj,30.830000,15,100,0.000000,usr-BwdHej7mU
1,-,-,-,-,-,-,-
010-RUTQRw,marca,def,55.000000,12,65,231.000000,usr-BwdHej7mU
3,-,-,-,-,-,-,-
011-jZmcx3,Pepega,Cepillo,9.000000,5,5,42.750000,usr-BwdHej7mU
011-OaX31p,Palmolive,Jabon Aloe&Oliva,7.590000,2,0,15.180000,usr-BwdHej7mU
011-hXZbe2,Pepega,Luminous White,16.400000,12,5,186.959991,usr-BwdHej7mU
